frame,mjd,source_id,flux_net,flux_net_small,bkg
proc_V842_Her_Light_001.fits,61160.8951534838,1424466864822909952,263264.15144683234,143276.50645244145,3913.746337890625
proc_V842_Her_Light_001.fits,61160.8951534838,1424530877015473792,326794.816195651,233978.25594242415,3916.479736328125
proc_V842_Her_Light_001.fits,61160.8951534838,1401457007031618944,217877.49637080554,40164.18791677801,4073.144287109375
proc_V842_Her_Light_001.fits,61160.8951534838,1424342070252851200,229271.9026060421,163140.1752486424,3997.98291015625
proc_V842_Her_Light_001.fits,61160.8951534838,1404146545615445376,309783.93841875566,205483.97371157428,3884.65576171875
proc_V842_Her_Light_001.fits,61160.8951534838,1423251285998705536,199952.0219352726,138901.17313084885,4081.756591796875
proc_V842_Her_Light_001.fits,61160.8951534838,1403539275895809920,310501.90252183884,251648.41655399566,3894.537109375
proc_V842_Her_Light_001.fits,61160.8951534838,1424277744526838272,274064.12518102664,216534.34096720396,3990.277099609375
proc_V842_Her_Light_001.fits,61160.8951534838,1400264548015506176,167785.48309956427,109431.4765077313,4018.3291015625
proc_V842_Her_Light_001.fits,61160.8951534838,1404160843562792064,290065.3660298264,185967.60355366225,3865.94482421875
proc_V842_Her_Light_001.fits,61160.8951534838,1423689716260740992,240223.48614851455,163465.1301074229,3943.0570068359375
proc_V842_Her_Light_001.fits,61160.8951534838,1404204789668197376,237645.39723486034,168080.63314099718,3823.461181640625
proc_V842_Her_Light_001.fits,61160.8951534838,1403873733589201280,222249.79981446412,163793.28306636552,3863.256103515625
proc_V842_Her_Light_001.fits,61160.8951534838,1403719630162112512,205553.0111038027,148249.70009875548,3909.535888671875
proc_V842_Her_Light_001.fits,61160.8951534838,1404263540525004416,252465.78403480013,189559.78320340093,3809.09423828125
proc_V842_Her_Light_001.fits,61160.8951534838,1403443618384100992,195618.58976544015,127918.12493487923,3997.85791015625
proc_V842_Her_Light_001.fits,61160.8951534838,1403377338448572288,227366.9839939506,156036.53677301336,3927.0281982421875
