frame,mjd,source_id,psf_flux
proc_V842_Her_Light_001.fits,61160.8951534838,1423459849610967040,69703.82190597928
proc_V842_Her_Light_001.fits,61160.8951534838,1403355966691353856,41209.269689190434
proc_V842_Her_Light_001.fits,61160.8951534838,1423425318073918720,68845.92886842061
proc_V842_Her_Light_001.fits,61160.8951534838,1424414706739915264,40797.339070588096
proc_V842_Her_Light_001.fits,61160.8951534838,1403352358918805248,30784.65607947348
proc_V842_Her_Light_001.fits,61160.8951534838,1403821055814486272,13048.325878213232
proc_V842_Her_Light_001.fits,61160.8951534838,1403433447901404928,20543.333605165706
proc_V842_Her_Light_001.fits,61160.8951534838,1400343781572357376,6167.8229734439565
proc_V842_Her_Light_001.fits,61160.8951534838,1403272674389536512,6222.1524058799705
proc_V842_Her_Light_001.fits,61160.8951534838,1403747525974384640,9041.113223618271
proc_V842_Her_Light_001.fits,61160.8951534838,1403138125950318208,9197.84418321295
proc_V842_Her_Light_001.fits,61160.8951534838,1403414236511605248,11597.334388683545
proc_V842_Her_Light_001.fits,61160.8951534838,1424457587693403904,4567.11169745825
proc_V842_Her_Light_001.fits,61160.8951534838,1403078541867842048,5520.850826746498
proc_V842_Her_Light_001.fits,61160.8951534838,1403167847124156672,1464.222791123922
proc_V842_Her_Light_001.fits,61160.8951534838,1403364109949296640,6797.161296391563
proc_V842_Her_Light_001.fits,61160.8951534838,1403715335195586304,39180.657493512736
proc_V842_Her_Light_001.fits,61160.8951534838,1399914731519637760,329.23310025618406
proc_V842_Her_Light_001.fits,61160.8951534838,1404049036974475392,3341.3386860383303
proc_V842_Her_Light_001.fits,61160.8951534838,1403765672211652352,2655.0353193776905
proc_V842_Her_Light_001.fits,61160.8951534838,1424599940089744768,3337.7766099264754
proc_V842_Her_Light_001.fits,61160.8951534838,1403766939225964288,240867.49460136818
proc_V842_Her_Light_001.fits,61160.8951534838,1423632816533853952,137284.65589478888
proc_V842_Her_Light_001.fits,61160.8951534838,1400549875578714240,73096.63198756355
proc_V842_Her_Light_001.fits,61160.8951534838,1427687368740585472,49877.117902162165
proc_V842_Her_Light_001.fits,61160.8951534838,1403740550947497984,28765.198103445175
proc_V842_Her_Light_001.fits,61160.8951534838,1424597397469089536,33902.8414400228
proc_V842_Her_Light_001.fits,61160.8951534838,1427657922444724736,42984.749466491194
proc_V842_Her_Light_001.fits,61160.8951534838,1423174148386024448,45942.12668547677
proc_V842_Her_Light_001.fits,61160.8951534838,1403739627529865216,30536.118823339035
proc_V842_Her_Light_001.fits,61160.8951534838,1424445046389321728,12569.495428121654
proc_V842_Her_Light_001.fits,61160.8951534838,1423458131623654656,13417.95015494838
proc_V842_Her_Light_001.fits,61160.8951534838,1399401951079371776,19967.17919774945
proc_V842_Her_Light_001.fits,61160.8951534838,1399951328936065536,2175.4089689935413
proc_V842_Her_Light_001.fits,61160.8951534838,1424319873861807872,15801.511447536048
proc_V842_Her_Light_001.fits,61160.8951534838,1403404929318555648,18822.087264348214
proc_V842_Her_Light_001.fits,61160.8951534838,1424334682909093376,15043.014267094872
proc_V842_Her_Light_001.fits,61160.8951534838,1404153181341169664,12845.168133304169
proc_V842_Her_Light_001.fits,61160.8951534838,1403210998659469312,3449.158322353099
proc_V842_Her_Light_001.fits,61160.8951534838,1403876448008936704,8075.774465071394
proc_V842_Her_Light_001.fits,61160.8951534838,1400129960920622336,4455.113312546279
proc_V842_Her_Light_001.fits,61160.8951534838,1424664978777969920,7496.485340584318
proc_V842_Her_Light_001.fits,61160.8951534838,1399471907506736384,11931.706938901274
proc_V842_Her_Light_001.fits,61160.8951534838,1403119434252636928,2642.2831914707076
proc_V842_Her_Light_001.fits,61160.8951534838,1403606582326998016,10446.633454080413
